2026-06-28	feat/wire-failure-library-panel	feat(dashboard): carrusel visible (shrink-0) + nav a /hub + KPIs en banda fina + mascota unica
2026-06-27	fix/ci-vitest-pool-singlefork	fix(compliance): annotate DS 40/1969 as derogated in registry.ts DS 67 citation
2026-06-27	fix/authz-cross-tenant	fix(authz): close 3 cross-tenant IDOR leaks in authz-sensitive routes
2026-06-24	feat/orphan-wiring-wave1-2026-06-24	feat(b3): wire 12 orphaned components — connectivity ratchet 37→25
2026-06-24	fix/b7-theme-shim-2026-06-24	fix(theme): make ThemeContext a thin shim over AppModeContext
2026-06-24	fix/b6-local-heroes-2026-06-24	chore(ratchet): sync render-ratchet baseline (Badge/Input orphaned, CalmRec/Lessons now rendered)
2026-06-24	dependabot/npm_and_yarn/simplewebauthn/server-13.3.1	chore(deps): bump @simplewebauthn/server from 11.0.0 to 13.3.2
2026-06-24	dependabot/github_actions/actions/setup-java-5	chore(ci): bump actions/setup-java from 4 to 5
2026-06-24	dependabot/npm_and_yarn/types/node-26.0.0	chore(deps): bump @types/node from 22.19.15 to 26.0.0
2026-06-24	dependabot/npm_and_yarn/huggingface/transformers-4.2.0	chore(deps): bump @huggingface/transformers from 3.8.1 to 4.2.0
2026-06-24	fix/e2e-vida-safety-2026-06-23	fix(legal): annotate DS 40 derogation in clSafetyInspectionAdapter citation
2026-06-22	fix/regen-api-index-2026-06-22	fix(docs): regenerate API-INDEX.md — fresh route catalog (unblocks CI Tests gate → deploy)
2026-06-22	feat/f4-tokenize-batch2-2026-06-22	feat(f4): tokenize remaining broken-in-3-modes pages (batch 2)
2026-06-22	fix/ci-tests-unblock-deploy-2026-06-22	fix(ci): shard Tests job 4-way to unblock deploy gate (>14 min slow run)
2026-06-22	feat/f4-tokenize-broken-pages-2026-06-22	feat(f4): tokenize 9 more pages — IoT, wearables, ERP, immutable render, CQRS, Google Drive, light pollution, volcanic map, mountain refuges
2026-06-22	fix/vitest-pool-hang-2026-06-22	fix(config): enable vitest detectAsyncLeaks to surface pool-hang culprits
2026-06-22	feat/backend-pipelines-2026-06-22	feat(pipelines): SLO error-budget refresh job + maintenance route wiring (Dimension D #3)
2026-06-22	feat/mount-vida-legal-orphans-2026-06-22	fix(i18n): declare climateRoutes.calmRecs + calmRecsTitle in all 3 locales
2026-06-22	dependabot/npm_and_yarn/minor-and-patch-ee8c404809	chore(deps): bump the minor-and-patch group across 1 directory with 59 updates
2026-06-22	feat/wire-compliance-emit-2026-06-22	test(compliance-emit): add real-router per-adapter tests + register safety_inspection stub
2026-06-22	fix/stability-blockers-2026-06-22	fix(test): pin TZ to America/Santiago in ephemeris.test.ts
2026-06-22	feat/landing-firebase-lazy	perf(landing): lazy-load Firebase SDK off the anonymous landing critical path
2026-06-22	test/router-coverage-wave2-2026-06-22	chore(ratchet): update router-test baseline — 7 → 1 uncovered (204 verified)
2026-06-22	feat/frontend-redesign-f2	fix(frontend-f2): address adversarial review findings (C1/I1-I4/M1/M2/I3)
2026-06-22	docs/reflect-merged-wave-2026-06-22	docs: reflect merged hardening + DX + frontend wave (#1111-#1114)
2026-06-22	feat/wire-backend-orphans-2026-06-22	test(server): add real-router tests for roleViews routes
2026-06-22	feat/frontend-redesign-f0-f1	chore(perf): raise Main entry size budget 500→532 KB for F1 nav redesign
2026-06-22	dependabot/npm_and_yarn/mercadopago-3.1.0	chore(deps): bump mercadopago from 2.13.0 to 3.1.0
2026-06-22	dependabot/github_actions/google-github-actions/setup-gcloud-3	chore(ci): bump google-github-actions/setup-gcloud from 2 to 3
2026-06-22	dependabot/github_actions/github/codeql-action-4	chore(ci): bump github/codeql-action from 3 to 4
2026-06-22	dependabot/github_actions/actions/setup-node-6	chore(ci): bump actions/setup-node from 4 to 6
2026-06-22	dependabot/github_actions/actions/upload-artifact-7	chore(ci): bump actions/upload-artifact from 4 to 7
2026-06-22	security/firestore-storage-rules-2026-06-22	test(rules): fix 7 failing rules tests for V2 anti-spoof hardening
2026-06-22	chore/dx-ci-config-2026-06-22	ci(lint-infra): step-level continue-on-error so advisory linters report green
2026-06-22	chore/wire-missing-guards-2026-06-22	chore(ci): wire render-ratchet (#23) into pre-commit + add advisory pr-scope-check (#24)
2026-06-22	security/audit-hardening-2026-06-22	feat(security): V11 PII redaction on /ask-guardian + V12 timing-safe E2E secret + B24 docker dedup
2026-06-22	feat/frontend-redesign	docs(design): F1/F2/F3 plans + spec §12 founder refinements
2026-06-21	docs/frontend-redesign-spec	docs(design): spec de rediseño de frontend (Apple/Xiaomi + pretext + nav 9 bloques)
2026-06-21	feat/ley-karin-notify-lead	feat(ley-karin): notificar al lider del proyecto al recibir denuncia (F2, anonimato-seguro)
2026-06-21	docs/reconcile-pendiente-2026-06-21	docs(PENDIENTE): D4 ContractorPerformance feed marcado CONSTRUIDO (stale doc-drift)
2026-06-21	fix/guard-hang-global-async-errors	fix(reliability): forward async rejections so membership reads can't hang the request
2026-06-21	fix/guard-pinsign	fix(pinSign): move project-membership guard inside try (Express 4 async-reject hang)
2026-06-21	fix/guard-aiguardrails	@ fix(aiGuardrails): move membership guard inside try/catch to prevent request hang
